entity_id,entity_name,exchange,exchange_ticker,industry_classification,primary_industry,2nd_level_primary_industry,name,region,is_eu
5001189,PGE Polska Grupa Energetyczna S.A. (WSE:PGE),WSE,WSE:PGE,Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control; Electric Power Distribution,Electric Utilities,Utilities,Warsaw Stock Exchange,Poland,Y
4093924,SSE plc (LSE:SSE),LSE,LSE:SSE,Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control; Electric Power Distribution,Electric Utilities,Utilities,London Stock Exchange,United Kingdom,Y
4511210,TAURON Polska Energia S.A. (WSE:TPE),WSE,WSE:TPE,Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control; Electric Power Distribution,Electric Utilities,Utilities,Warsaw Stock Exchange,Poland,Y
5001062,VERBUND AG (WBAG:VER),WBAG,WBAG:VER,Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control; Electric Power Distribution,Electric Utilities,Utilities,Wiener Börse AG (Vienna Stock Exchange),Austria,Y
4098512,"EDP - Energias de Portugal, S.A. (ENXTLS:EDP)",ENXTLS,ENXTLS:EDP,Electric Power Generation By Fossil Fuels; Electric Power Distribution; Electric Power Transmission and Control,Electric Utilities,Utilities,Euronext Lisbon,Netherlands,Y
4101540,Electricité de France S.A. (ENXTPA:EDF),ENXTPA,ENXTPA:EDF,Electric Power Generation By Fossil Fuels; Electric Power Distribution; Electric Power Transmission and Control,Electric Utilities,Utilities,Euronext Paris,France,Y
4825275,EnBW Energie Baden-Württemberg AG (XTRA:EBK),XTRA,XTRA:EBK,Electric Power Generation By Fossil Fuels; Electric Power Distribution; Electric Power Transmission and Control,Electric Utilities,Utilities,Deutsche Börse Xetra,Germany,Y
4632323,ENEA S.A. (WSE:ENA),WSE,WSE:ENA,Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control,Electric Utilities,Utilities,Warsaw Stock Exchange,Poland,Y
5001154,EVN AG (WBAG:EVN),WBAG,WBAG:EVN,Electric Power Generation By Fossil Fuels; Electric Power Distribution; Electric Power Transmission and Control,Electric Utilities,Utilities,Wiener Börse AG (Vienna Stock Exchange),Austria,Y
5001102,Jersey Electricity plc (LSE:JEL),LSE,LSE:JEL,Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control,Electric Utilities,Utilities,London Stock Exchange,United Kingdom,Y
5001189,PGE Polska Grupa Energetyczna S.A. (WSE:PGE),WSE,WSE:PGE,Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control,Electric Utilities,Utilities,Warsaw Stock Exchange,Poland,Y
4157528,Public Power Corporation S.A. (ATSE:PPC),ATSE,ATSE:PPC,Electric Power Generation By Fossil Fuels; Electric Power Distribution; Electric Power Transmission and Control,Electric Utilities,Utilities,Athens Stock Exchange,Greece,Y
4093924,SSE plc (LSE:SSE),LSE,LSE:SSE,Electric Power Generation By Fossil Fuels; Electric Power Distribution; Electric Power Transmission and Control,Electric Utilities,Utilities,London Stock Exchange,United Kingdom,Y
4511210,TAURON Polska Energia S.A. (WSE:TPE),WSE,WSE:TPE,Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control,Electric Utilities,Utilities,Warsaw Stock Exchange,Poland,Y
7588683,Toplofikatsia-Burgas AD (BUL:TPLB),BUL,BUL:TPLB,Electric Power Generation By Fossil Fuels; Electric Power Distribution; Electric Power Transmission and Control,Electric Utilities,Utilities,Bulgarian Stock Exchange,Bulgaria,Y
5001062,VERBUND AG (WBAG:VER),WBAG,WBAG:VER,Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control,Electric Utilities,Utilities,Wiener Börse AG (Vienna Stock Exchange),Austria,Y
4101540,Electricité de France S.A. (ENXTPA:EDF),ENXTPA,ENXTPA:EDF,Electric Power Transmission and Control; Electric Power Distribution; Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,Euronext Paris,France,Y
4098284,"Endesa, S.A. (BME:ELE)",BME,BME:ELE,Electric Power Transmission and Control; Electric Power Generation By Fossil Fuels; Electric Power Distribution,Electric Utilities,Utilities,Bolsas y Mercados Españoles,Spain,Y
4632323,ENEA S.A. (WSE:ENA),WSE,WSE:ENA,Electric Power Transmission and Control; Electric Power Distribution; Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,Warsaw Stock Exchange,Poland,Y
4102079,"Iberdrola, S.A. (BME:IBE)",BME,BME:IBE,Electric Power Transmission and Control; Electric Power Generation By Fossil Fuels; Electric Power Distribution,Electric Utilities,Utilities,Bolsas y Mercados Españoles,Spain,Y
5001102,Jersey Electricity plc (LSE:JEL),LSE,LSE:JEL,Electric Power Transmission and Control; Electric Power Generation By Fossil Fuels; Electric Power Distribution,Electric Utilities,Utilities,London Stock Exchange,United Kingdom,Y
4093924,SSE plc (LSE:SSE),LSE,LSE:SSE,Electric Power Transmission and Control; Electric Power Distribution; Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,London Stock Exchange,United Kingdom,Y
4511210,TAURON Polska Energia S.A. (WSE:TPE),WSE,WSE:TPE,Electric Power Transmission and Control; Electric Power Distribution; Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,Warsaw Stock Exchange,Poland,Y
